gan,dataset,embedding,epoch,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,unconditional_fid
vanilla,organa,4,10,172.2776,307.5541,303.704,279.8311,188.4111,212.5368,245.8276,217.8588,174.0281,150.5485,199.8313,321.8399
vanilla,organa,4,100,241.0527,320.9613,286.4818,391.6501,224.8736,289.0439,385.9254,206.9916,248.4926,298.6497,283.468,403.7578
vanilla,organa,8,10,164.3903,357.653,248.0807,241.9197,186.2046,205.3401,196.2491,202.1509,145.0538,167.1049,180.357,354.3524
vanilla,organa,8,100,297.8039,345.4029,402.6941,256.7579,325.541,318.6498,212.0945,310.6739,307.1157,252.88,325.0843,339.3543
vanilla,organa,32,10,175.8822,321.8076,252.4257,248.4162,187.6487,208.8316,201.5397,172.5051,147.8097,143.0105,182.0415,297.9195
vanilla,organa,32,100,242.6185,335.5318,231.5652,230.7703,200.7318,272.3796,220.4859,188.7323,177.4009,202.7,235.7356,228.3745
vanilla,organa,0,10,169.6291,315.9115,289.6141,247.6003,201.9205,212.3288,259.1853,228.4863,147.1662,146.4615,197.823,334.5706
vanilla,organa,0,100,246.0119,391.266,381.7716,364.7537,320.6722,285.5301,315.8572,299.6092,242.2482,207.2813,307.2879,372.1947
Wasserstein,organa,4,10,170.6947,339.725,278.1249,206.5977,179.7959,201.3221,217.1259,167.8062,168.3395,167.5161,207.6648,271.4524
Wasserstein,organa,4,100,162.4425,323.9287,311.5654,235.1318,197.293,177.2044,154.4977,160.4804,166.0033,160.9513,140.7369,101.4624
Wasserstein,organa,8,10,168.0779,309.4291,291.0061,240.7626,178.7214,182.4124,195.7238,199.2907,170.0243,160.4261,181.2583,246.9958
Wasserstein,organa,8,100,143.0874,258.0719,282.6719,179.9719,172.0623,193.959,130.9763,159.3092,168.7551,125.3689,165.5185,91.9771
Wasserstein,organa,32,10,158.2113,329.6662,285.9539,201.4346,178.6259,168.4174,149.0996,159.7796,159.1695,143.391,178.3681,246.8223
Wasserstein,organa,32,100,173.1575,306.4138,254.8994,185.2565,182.5816,188.2365,136.6175,163.125,157.3735,165.0536,155.6254,90.7818
Wasserstein,organa,0,10,169.3503,341.7483,313.7746,239.8004,165.2224,170.9895,142.5208,165.2023,149.4922,182.3115,154.7057,227.352
Wasserstein,organa,0,100,153.0325,256.7697,241.991,198.6203,201.5026,205.5716,123.4598,171.1609,139.1883,128.949,145.9104,94.9601
